468,123,246,374,386,-11
458,112,236,368,383,-15
457,118,240,359,353,-16
450,115,236,352,340,-15
464,119,243,366,371,-16
499,147,273,404,433,5
463,119,242,370,377,-12
462,115,238,370,353,-13
488,134,258,393,377,-5
483,141,264,384,398,-2
463,120,243,367,378,-13
456,111,233,365,365,-15
512,161,288,415,443,12
518,167,293,421,450,19
552,197,324,448,467,32
497,146,271,407,451,11
592,229,360,484,524,51
501,150,274,406,407,11
483,137,260,385,374,-3
491,147,269,389,391,1
463,121,242,366,353,-13
507,159,285,410,445,13
474,132,255,376,383,-7
496,152,276,396,404,6
